Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Text Area 2,Text Area 3,Custom Shape,GCT,Group,Optional,Shape ID,"type ""1""  to show  uom","type ""1""  to show kn-code","type ""1"" to activate kn colors"
1,Document,,,,,,,,,IS Review,WC02_P001 - adidas Italy - Primary Inbound Flow - Automated conveyables,,,,,,,,,,
2,Page,,,,,,,,,,Swimlane,,,,,,,,1,1,1
3,Text,Standard,2,9:2,,,,,,,,,,,,,,,,,
4,Text,Standard,2,,,,,,,,,,,,,,,,,,
5,Text,Standard,2,,,,,,,,,,,,,,,,,,
6,MinimalTextBlock,Standard,2,,,,,,,,"Last modified: 12.05.2022 | 15:58 h
Page 1 of 5 ",,,,,,,,,,
7,MinimalTextBlock,Standard,2,,,,,,,,"Kuehne + Nagel | Contract Logistics
WC02_P001 - adidas Italy - Primary Inbound Flow - Automated conveyables | Swimlane",,,,,,,,,,
8,AdvancedSwimLaneBlockRotated,Flowchart Shapes,2,,,,,,,,WCS,,,,,,,,,,
9,AdvancedSwimLaneBlockRotated,Flowchart Shapes,2,,,,,,,,KN System,KN Admin,KN Warehouse,,,,,,,,
10,AdvancedSwimLaneBlockRotated,Flowchart Shapes,2,,,,,,,,Customer,,,,,,,,,,
11,AdvancedSwimLaneBlockRotated,Flowchart Shapes,2,,,,,,,,Data/Documents,,,,,,,,,,
12,MinimalTextBlock,Standard,2,,,,,,,,WC02_P001 - adidas Italy - Primary Inbound Flow - Automated conveyables,,,,,,,,,,
13,User Image,User Images,2,,,,,,,,,,,,,,,,,,
14,User Image,User Images,2,,,,,,,,,,,,,,,,,,
15,MinimalTextBlock,Standard,2,,,,,,,,"Last modified: 12.05.2022 | 15:58 h
Page 2 of 5",,,,,,,,,,
16,MinimalTextBlock,Standard,2,,,,,,,,"Kuehne + Nagel | Contract Logistics
WC02_P001 - adidas Italy - Primary Inbound Flow - Automated conveyables | Swimlane",,,,,,,,,,
17,MinimalTextBlock,Standard,2,,,,,,,,"Last modified: 12.05.2022 | 15:58 h
Page 3 of 5 ",,,,,,,,,,
18,MinimalTextBlock,Standard,2,,,,,,,,"Kuehne + Nagel | Contract Logistics
WC02_P001 - adidas Italy - Primary Inbound Flow - Automated conveyables | Swimlane",,,,,,,,,,
19,User Image,User Images,2,,,,,,,,,,,,,,,,,,
20,MinimalTextBlock,Standard,2,,,,,,,,WC02_P001 - adidas Italy - Primary Inbound Flow - Automated conveyables,,,,,,,,,,
21,MinimalTextBlock,Standard,2,,,,,,,,WC02_P001 - adidas Italy - Primary Inbound Flow - Automated conveyables,,,,,,,,,,
22,MinimalTextBlock,Standard,2,,,,,,,,"Last modified: 12.05.2022 | 15:58 h
Page 4 of 5 ",,,,,,,,,,
23,MinimalTextBlock,Standard,2,,,,,,,,"Kuehne + Nagel | Contract Logistics
WC02_P001 - adidas Italy - Primary Inbound Flow - Automated conveyables | Swimlane",,,,,,,,,,
24,MinimalTextBlock,Standard,2,,,,,,,,WC02_P001 - adidas Italy - Primary Inbound Flow - Automated conveyables,,,,,,,,,,
25,User Image,User Images,2,,,,,,,,,,,,,,,,,,
26,MinimalTextBlock,Standard,2,,,,,,,,WC02_P001 - adidas Italy - Primary Inbound Flow - Automated conveyables,,,,,,,,,,
27,User Image,User Images,2,,,,,,,,,,,,,,,,,,
28,MinimalTextBlock,Standard,2,,,,,,,,"Last modified: 12.05.2022 | 15:58 h
Page 5 of 5 ",,,,,,,,,,
29,MinimalTextBlock,Standard,2,,,,,,,,"Kuehne + Nagel | Contract Logistics
WC02_P001 - adidas Italy - Primary Inbound Flow - Automated conveyables | Swimlane",,,,,,,,,,
30,general start event,Kuehne + Nagel,2,10:1,,,,,,,,,,,,,,,,,
31,general start event,Kuehne + Nagel,2,9:1,,,,,,,wait for truck arrival,,,,,,,,,,
32,KN Block: Non-GCT,Kuehne + Nagel,2,9:2,,,,,,,Yard Management,,,true,false,No Code,false,ZTQGIY9n1Xub,,,
33,KN Block: Non-GCT,Kuehne + Nagel,2,9:1,,,,,,,Truck assigned to dock door,,,true,false,No Code,false,FXQGuGo3h2um,,,
34,data,Kuehne + Nagel,2,8:1,,,,,,,K1 Inbound shipment  (1 message per carton),,,,,,,,,,
35,KN Block: Non-GCT,Kuehne + Nagel,2,9:1,,,,,,,"""Unload all"" function on WebUI",,,true,false,No Code,false,SzUGeT4JCsB7,,,
36,exclusive decision gateway,Kuehne + Nagel,2,9:3,,,,,,,,,,,,,,,,,
37,KN Block: Non-GCT,Kuehne + Nagel,2,9:3,,,,,,,Pallet unloading to staging location,,,true,false,No Code,false,LYUGsGwqVSBY,,,
38,KN Block: Non-GCT,Kuehne + Nagel,2,9:3,,,,,,,Move pallets to de-palletization area,,,true,false,No Code,false,WZUGKSA~.dlI,,,
39,KN Block: Non-GCT,Kuehne + Nagel,2,9:3,,,,,,,Single cartons put on inbound conveyor,,,true,false,No Code,false,s0UGQ4na-3Za,,,
40,KN Block: Non-GCT,Kuehne + Nagel,2,9:1,,,,,,,"""Unload all"" function on WebUI",,,true,false,No Code,false,5.UGqZTHlz-L,,,
41,exclusive decision gateway,Kuehne + Nagel,2,9:3,,,,,,,,,,,,,,,,,
42,general start event,Kuehne + Nagel,2,9:3,,,,,,,,,,,,,,,,,
43,KN Block: Non-GCT,Kuehne + Nagel,2,8:1,,,,,,,First routing label applied,,,true,false,No Code,false,scVGcB3WSGWM,,,
44,KN Block: Non-GCT,Kuehne + Nagel,2,8:1,,,,,,,Carton through scantunnel,,,true,false,No Code,false,pfVGkkl63~~5,,,
45,KN Block: Non-GCT,Kuehne + Nagel,2,8:1,,,,,,,Weight and dimension check (miniloadable),,,true,false,No Code,false,cgVGxK5dXvBx,,,
46,exclusive decision gateway,Kuehne + Nagel,2,8:1,,,,,,,,,,,,,,,,,
47,KN Block: Non-GCT,Kuehne + Nagel,2,8:1,,,,,,,Carton sent to oversized palletizing station,,,true,false,No Code,false,chVGw1amkFCC,,,
48,KN Block: Non-GCT,Kuehne + Nagel,2,8:1,,,,,,,Second routing label applied,,,true,false,No Code,false,2iVGUC2bofMV,,,
49,data,Kuehne + Nagel,2,9:1,,,,,,,K2 - Identify,,,,,,,,,,
50,KN Block: Non-GCT,Kuehne + Nagel,2,9:1,,,,,,,Label renaming (LPN),,,true,false,No Code,false,atVG0KmI5Qyw,,,
51,KN Block: Non-GCT,Kuehne + Nagel,2,9:1,,,,,,,Receiving of scanned cartons,,,true,false,No Code,false,PKnHMnSQe9x4,,,
52,KN Block: Non-GCT,Kuehne + Nagel,2,8:1,,,,,,,Carton sent to Miniload,,,true,false,No Code,false,aVnH0KVW.wO~,,,
53,KN Block: Non-GCT,Kuehne + Nagel,2,8:1,,,,,,,Carton putaway to Miniload completed,,,true,false,No Code,false,JVnHiRMkAp-9,,,
54,data,Kuehne + Nagel,2,9:1,,,,,,,K4 - Storage order confirmation,,,,,,,,,,
55,general start event,Kuehne + Nagel,2,8:1,,,,,,,Miniloadable,,,,,,,,,,
56,general start event,Kuehne + Nagel,2,8:1,,,,,,,Not miniloadable,,,,,,,,,,
57,KN Block: Non-GCT,Kuehne + Nagel,2,9:1,,,,,,,Putaway carton in Miniload,,,true,false,No Code,false,aYnH.3gIwnq~,,,
58,general start event,Kuehne + Nagel,2,8:1,,,,,,,Miniloadable,,,,,,,,,,
59,general start event,Kuehne + Nagel,2,8:1,,,,,,,Not miniloadable,,,,,,,,,,
60,KN Block: Non-GCT,Kuehne + Nagel,2,9:1,,,,,,,Move carton to oversized palletizing station,,,true,false,No Code,false,KfoHoAcA8TNh,,,
61,KN Block: Non-GCT,Kuehne + Nagel,2,9:1,,,,,,,Start Directed Putaway,,,true,false,No Code,false,-qoHRxPXMkY-,,,
62,KN Block: Non-GCT,Kuehne + Nagel,2,9:1,,,,,,,Pallet building,,,true,false,No Code,false,V7oHT-Zxo5lq,,,
63,KN Block: Non-GCT,Kuehne + Nagel,2,9:3,,,,,,,Put carton on pallet,,,true,false,No Code,false,t8oHry632cbL,,,
64,KN Block: Non-GCT,Kuehne + Nagel,2,9:1,,,,,,,Putaway pallet to Pallet Rack,,,true,false,No Code,false,t-oHRWVSZkMJ,,,
65,KN Block: Non-GCT,Kuehne + Nagel,2,9:1,,,,,,,Move pallet to Manual  Stock Building & Staging Area,,,true,false,No Code,false,8-oHLtw~niZd,,,
66,general start event,Kuehne + Nagel,2,9:3,,,,,,,,,,,,,,,,,
67,general start event,Kuehne + Nagel,2,9:1,,,,,,,,,,,,,,,,,
68,exclusive decision gateway,Kuehne + Nagel,2,8:1,,,,,,,New SKU flag?,,,,,,,,,,
69,KN Block: Non-GCT,Kuehne + Nagel,2,8:1,,,,,,,Carton routed to New SKU area,,,true,false,No Code,false,fepHi1YmwfsK,,,
70,KN Block: Non-GCT,Kuehne + Nagel,2,9:1,,,,,,,New SKU process,,,true,false,No Code,false,9epH3IYKZFEP,,,
71,exclusive decision gateway,Kuehne + Nagel,2,8:1,,,,,,,QC flag?,,,,,,,,,,
72,KN Block: Non-GCT,Kuehne + Nagel,2,8:1,,,,,,,Carton routed to QC station,,,true,false,No Code,false,.fpHkRxcbaPa,,,
73,KN Block: Non-GCT,Kuehne + Nagel,2,9:1,,,,,,,QC Process,,,true,false,No Code,false,2hpHFjPd3FOx,,,
74,general start event,Kuehne + Nagel,2,9:1,,,,,,,,,,,,,,,,,
75,KN Block: Non-GCT,Kuehne + Nagel,2,9:1,,,,,,,Start inbound carton validation (RF),,,true,false,No Code,false,VnpHY7M-w5CV,,,
76,exclusive decision gateway,Kuehne + Nagel,2,9:1,,,,,,,New SKU?,,,,,,,,,,
77,exclusive decision gateway,Kuehne + Nagel,2,9:1,,,,,,,QC?,,,,,,,,,,
78,KN Block: Non-GCT,Kuehne + Nagel,2,9:1,,,,,,,New SKU process,,,true,false,No Code,false,4qpHMxURQcqs,,,
79,KN Block: Non-GCT,Kuehne + Nagel,2,9:1,,,,,,,QC Process,,,true,false,No Code,false,4qpHAMQsYBaM,,,
80,KN Block: Non-GCT,Kuehne + Nagel,2,9:3,,,,,,,Move carton to New SKU area,,,true,false,No Code,false,.spHUHRp7saC,,,
81,KN Block: Non-GCT,Kuehne + Nagel,2,9:3,,,,,,,Move carton to QC station,,,true,false,No Code,false,xtpHMGSj5Z2I,,,
82,KN Block: Non-GCT,Kuehne + Nagel,2,9:3,,,,,,,Move carton to oversized palletizing station,,,true,false,No Code,false,pupH8IkfBnJP,,,
83,exclusive decision gateway,Kuehne + Nagel,2,8:1,,,,,,,Dedicated flow and customer not requiring VAS and quantity over threshold?,,,,,,,,,,
84,KN Block: Non-GCT,Kuehne + Nagel,2,8:1,,,,,,,Carton sent to Goods-in palletizing,,,true,false,No Code,false,ZEUIk7qXMe9e,,,
85,KN Block: Non-GCT,Kuehne + Nagel,2,9:1,,,,,,,Pallet building,,,true,false,No Code,false,WIUIfEW_AY7u,,,
86,KN Block: Non-GCT,Kuehne + Nagel,2,9:3,,,,,,,Put carton on pallet,,,true,false,No Code,false,WIUIVMYKhylC,,,
87,KN Block: Non-GCT,Kuehne + Nagel,2,8:1,,,,,,,Logistic Lights,,,true,false,No Code,false,6IUIF5.6eT0F,,,
88,KN Block: Non-GCT,Kuehne + Nagel,2,9:1,,,,,,,Putaway pallet to Pallet Rack,,,true,false,No Code,false,pKUI0fneibAU,,,
89,KN Block: Non-GCT,Kuehne + Nagel,2,9:1,,,,,,,Move pallet to Manual  Stock Building & Staging Area,,,true,false,No Code,false,pKUI.FvdPjGg,,,
90,general start event,Kuehne + Nagel,2,9:3,,,,,,,,,,,,,,,,,
91,general start event,Kuehne + Nagel,2,9:1,,,,,,,,,,,,,,,,,
92,KN Block: Non-GCT,Kuehne + Nagel,2,9:1,,,,,,,Calculate final storage destination for inbound shipment at dock door and connect to WAALOS to gather data of new items if available,,,true,false,No Code,false,GByJScWjkYOL,,,
93,exclusive decision gateway,Kuehne + Nagel,2,8:1,,,,,,,Multi-SKU carton?,,,,,,,,,,
94,KN Block: Non-GCT,Kuehne + Nagel,2,8:1,,,,,,,Carton sent to OSR,,,true,false,No Code,false,BsaKcGdhzRLp,,,
95,KN Block: Non-GCT,Kuehne + Nagel,2,8:1,,,,,,,Decanting and putaway to OSR,,,true,false,No Code,false,BsaK1Xae.ZTX,,,
96,data,Kuehne + Nagel,2,9:1,,,,,,,K4 - Storage order confirmation,,,,,,,,,,
97,KN Block: Non-GCT,Kuehne + Nagel,2,9:1,,,,,,,Putaway carton in OSR,,,true,false,No Code,false,BsaK0vvPS8db,,,
98,general start event,Kuehne + Nagel,2,9:1,,,,,,,,,,,,,,,,,
99,general start event,Kuehne + Nagel,2,8:1,,,,,,,Error,,,,,,,,,,
100,data,Kuehne + Nagel,2,9:1,,,,,,,K2 - Identify,,,,,,,,,,
101,KN Block: Non-GCT,Kuehne + Nagel,2,9:1,,,,,,,Label renaming (LPN),,,true,false,No Code,false,27aKVKh1tuqb,,,
102,KN Block: Non-GCT,Kuehne + Nagel,2,9:1,,,,,,,Receiving of scanned cartons,,,true,false,No Code,false,27aKjmjPLH_Q,,,
103,general start event,Kuehne + Nagel,2,8:1,,,,,,,Error,,,,,,,,,,
104,KN Block: Non-GCT,Kuehne + Nagel,2,8:1,,,,,,,Carton sent to error lane,,,true,false,No Code,false,L.aKNjAuKdkn,,,
105,KN Block: Non-GCT,Kuehne + Nagel,2,9:2,,,,,,,Manual handling by operator,,,true,false,No Code,false,LabKi4.39k_Q,,,
106,general start event,Kuehne + Nagel,2,9:2,,,,,,,,,,,,,,,,,
107,general start event,Kuehne + Nagel,2,9:1,,,,,,,Manual trigger by operator,,,,,,,,,,
108,KN Block: Non-GCT,Kuehne + Nagel,2,9:1,,,,,,,Inbound order closure,,,true,false,No Code,false,ECzS1w5C0nX0,,,
109,general start event,Kuehne + Nagel,2,9:1,,,,,,,Automatic or manual,,,,,,,,,,
110,data,Kuehne + Nagel,2,8:1,,,,,,,K1 Inbound shipment  (1 message per carton),,,,,,,,,,
111,KN Block: Non-GCT,Kuehne + Nagel,2,11:1,,,,,,,Get data from WAALOS,,,true,false,No Code,false,w3oTyXTbMWUH,,,
112,exclusive decision gateway,Kuehne + Nagel,2,9:1,,,,,,,,,,,,,,,,,
113,KN Block: Non-GCT,Kuehne + Nagel,2,9:1,,,,,,,"Calculate New SKU flag, QC flag ",,,true,false,No Code,false,MOBU0rdzAEG0,,,
114,data,Kuehne + Nagel,2,8:1,,,,,,,K1 (updated for OSD2 + New SKU / QC),,,,,,,,,,
